Scenario Node ID,Electricity Price,Fuel Supply
0,21.4019,1769.29
1,21.943,2488.86
2,1.68332,2488.86
3,19.7651,2488.86
4,18.653,3931.64
5,3.08592,3931.64
6,5.61016,3931.64
7,12.9045,3931.64
8,18.4915,3931.64
9,11.1329,3931.64
10,20.8027,3931.64
11,21.2654,3931.64
12,12.347,2289.92
13,3.11574,2289.92
14,24.9184,2289.92
15,5.51329,2289.92
16,23.5451,2289.92
17,11.8351,2289.92
18,8.79839,2289.92
19,27.5894,2289.92
20,17.6257,2289.92
21,9.17062,2289.92
22,31.2999,2289.92
23,31.4998,2289.92
24,28.0599,2289.92
25,14.185,2289.92
26,24.5086,2289.92
27,13.5947,2289.92
28,15.7581,2289.92
29,30.1784,2289.92
30,16.9091,2289.92
31,5.16004,2289.92
32,20.1215,2289.92
33,18.5924,2289.92
34,24.9252,2289.92
35,6.77448,2289.92
36,21.6783,902.722
37,30.5354,902.722
38,19.679,902.722
39,8.16981,902.722
40,9.66828,902.722
41,8.48169,902.722
42,29.4353,902.722
43,22.0153,902.722
44,11.5974,902.722
45,22.3537,902.722
46,27.5286,902.722
47,3.14255,902.722
48,2.18877,902.722
49,4.32695,902.722
50,30.732,902.722
51,19.8144,902.722
52,13.4976,902.722
53,30.0319,902.722
54,19.3142,902.722
55,9.55743,902.722
56,12.2169,902.722
57,11.8228,902.722
58,23.1521,902.722
59,27.975,902.722
60,10.0012,1790.62
61,8.0612,1790.62
62,1.13509,1790.62
63,30.1227,1790.62
64,26.6536,1790.62
65,26.0603,1790.62
66,4.89719,1790.62
67,16.3319,1790.62
68,24.5956,1790.62
69,24.5762,1790.62
70,24.5017,1790.62
71,2.26391,1790.62
72,1.05791,1790.62
73,21.937,1790.62
74,24.2792,1790.62
75,12.6553,1790.62
76,12.2906,1790.62
77,19.8077,1790.62
78,15.7979,1790.62
79,14.4794,1790.62
80,24.1347,1790.62
81,14.5298,1790.62
82,2.29384,1790.62
83,5.63227,1790.62
84,12.5617,3372.65
85,21.608,3372.65
86,15.1897,3372.65
87,24.7786,3372.65
88,1.43084,3372.65
89,6.34184,3372.65
90,20.7537,3372.65
91,11.4321,3372.65
92,14.403,3372.65
93,21.8888,3372.65
94,9.55479,3372.65
95,9.05663,3372.65
96,15.949,3372.65
97,14.452,3372.65
98,25.3885,3372.65
99,8.54468,3372.65
100,7.0282,3372.65
101,17.8902,3372.65
102,10.8086,3372.65
103,8.08611,3372.65
104,7.82721,3372.65
105,3.08777,3372.65
106,20.7414,3372.65
107,20.1179,3372.65
108,22.8955,1391.36
109,4.53934,1391.36
110,2.59728,1391.36
111,15.0302,1391.36
112,19.0692,1391.36
113,4.89112,1391.36
114,20.6625,1391.36
115,31.6309,1391.36
116,26.4992,1391.36
117,3.85218,1391.36
118,24.4095,1391.36
119,27.93,1391.36
120,10.194,1391.36
121,13.1632,1391.36
122,7.36208,1391.36
123,24.5971,1391.36
124,3.05196,1391.36
125,16.9169,1391.36
126,1.65369,1391.36
127,19.001,1391.36
128,31.3689,1391.36
129,27.0422,1391.36
130,27.5457,1391.36
131,6.39706,1391.36
132,12.9325,3157.16
133,6.35428,3157.16
134,14.4832,3157.16
135,20.7597,3157.16
136,9.44205,3157.16
137,3.22462,3157.16
138,8.87752,3157.16
139,0.337562,3157.16
140,7.76396,3157.16
141,11.4748,3157.16
142,15.3678,3157.16
143,26.8331,3157.16
144,16.3659,3157.16
145,4.03025,3157.16
146,26.4641,3157.16
147,10.8651,3157.16
148,7.88244,3157.16
149,18.8736,3157.16
150,6.79509,3157.16
151,18.0765,3157.16
152,0.0367699,3157.16
153,14.1572,3157.16
154,10.6735,3157.16
155,3.08873,3157.16
156,31.074,3508.21
157,12.3272,3508.21
158,22.0897,3508.21
159,30.4429,3508.21
160,7.36942,3508.21
161,17.6354,3508.21
162,4.83996,3508.21
163,20.3019,3508.21
164,23.9897,3508.21
165,19.3231,3508.21
166,9.06153,3508.21
