Scenario Node ID,Electricity Price,Fuel Supply
0,11.8022,4017.57
1,5.43889,1585.04
2,21.2342,1585.04
3,2.37498,1585.04
4,15.0933,1903.03
5,19.6576,1903.03
6,4.83676,1903.03
7,4.0479,1903.03
8,0.850555,1903.03
9,17.3175,1903.03
10,21.5442,1903.03
11,14.3664,1903.03
12,2.12409,704.88
13,16.3356,704.88
14,14.5742,704.88
15,1.54359,704.88
16,17.456,704.88
17,0.954295,704.88
18,21.7501,704.88
19,1.75781,704.88
20,8.78378,704.88
21,19.6469,704.88
22,18.3828,704.88
23,20.0281,704.88
24,14.8962,704.88
25,19.7205,704.88
26,20.4618,704.88
27,21.4413,704.88
28,12.3285,704.88
29,15.0802,704.88
30,0.973425,704.88
31,1.13066,704.88
32,20.5191,704.88
33,22.2076,704.88
34,3.50565,704.88
35,12.6124,704.88
36,18.8653,3699.42
37,8.34241,3699.42
38,16.6603,3699.42
39,19.7158,3699.42
40,2.65989,3699.42
41,15.2044,3699.42
42,11.0822,3699.42
43,4.78399,3699.42
44,8.54002,3699.42
45,2.6564,3699.42
46,6.32758,3699.42
47,2.996,3699.42
48,3.6107,3699.42
49,5.07769,3699.42
50,4.7538,3699.42
51,12.3945,3699.42
52,1.72463,3699.42
53,0.136584,3699.42
54,9.42253,3699.42
55,16.6209,3699.42
56,19.8571,3699.42
57,6.88438,3699.42
58,15.0622,3699.42
59,9.18553,3699.42
60,21.9645,2019.23
61,16.0356,2019.23
62,10.3162,2019.23
63,19.4836,2019.23
64,15.2432,2019.23
65,13.8218,2019.23
66,9.09597,2019.23
67,11.1085,2019.23
68,22.1642,2019.23
69,2.75624,2019.23
70,7.82432,2019.23
71,1.82414,2019.23
72,17.9607,2019.23
73,18.9065,2019.23
74,6.60813,2019.23
75,3.5007,2019.23
76,21.5629,2019.23
77,12.9357,2019.23
78,6.4967,2019.23
79,2.17362,2019.23
80,18.0134,2019.23
81,11.2505,2019.23
82,14.5681,2019.23
83,19.738,2019.23
84,11.3871,3590.62
85,0.99063,3590.62
86,13.3589,3590.62
87,8.24417,3590.62
88,7.87501,3590.62
89,5.42109,3590.62
90,17.4297,3590.62
91,6.83955,3590.62
92,21.4567,3590.62
93,4.74589,3590.62
94,3.32315,3590.62
95,13.6999,3590.62
96,18.5677,3590.62
97,12.4191,3590.62
98,1.80843,3590.62
99,17.732,3590.62
100,15.1754,3590.62
101,9.63275,3590.62
102,19.5561,3590.62
103,10.1361,3590.62
104,5.53927,3590.62
105,3.16425,3590.62
106,13.6368,3590.62
107,4.1022,3590.62
108,16.1,4328.62
109,20.1335,4328.62
110,6.27582,4328.62
111,11.1134,4328.62
112,8.38397,4328.62
113,20.8439,4328.62
114,7.85139,4328.62
115,19.7711,4328.62
116,21.8345,4328.62
117,21.2103,4328.62
