Scenario Node ID,Electricity Price,Fuel Supply
0,28.969,4227.03
1,29.628,6923.02
2,15.996,6923.02
3,26.5297,6923.02
4,15.9273,7439.15
5,13.2661,7439.15
6,17.6326,7439.15
7,27.5899,7439.15
8,12.596,7439.15
9,10.2656,7439.15
10,4.85837,7439.15
11,8.6225,7439.15
12,27.6969,8170.76
13,12.8564,8170.76
14,22.5271,8170.76
15,23.2575,8170.76
16,24.8476,8170.76
17,12.2534,8170.76
18,9.16284,8170.76
19,0.186578,8170.76
20,27.8638,8170.76
21,11.7954,8170.76
22,1.26509,8170.76
23,21.8362,8170.76
24,22.9536,8170.76
25,4.93381,8170.76
26,30.6075,8170.76
27,29.2145,8170.76
28,28.9056,8170.76
29,15.6075,8170.76
30,19.2921,8170.76
31,25.8746,8170.76
32,13.2356,8170.76
33,3.28811,8170.76
34,20.4043,8170.76
35,29.1629,8170.76
36,16.5542,7833.94
37,6.0369,7833.94
38,24.7528,7833.94
39,29.1502,7833.94
40,16.3025,7833.94
41,29.6112,7833.94
42,5.77272,7833.94
43,11.9993,7833.94
44,10.4676,7833.94
45,28.2998,7833.94
46,3.25686,7833.94
47,3.31523,7833.94
48,8.55318,7833.94
49,12.4197,7833.94
50,3.50181,7833.94
51,4.41703,7833.94
52,24.2151,7833.94
53,4.7669,7833.94
54,26.2533,7833.94
55,15.1687,7833.94
56,9.70071,7833.94
57,24.8608,7833.94
58,12.3832,7833.94
59,6.60633,7833.94
60,8.46833,1186.77
61,31.6752,1186.77
62,0.480922,1186.77
63,21.7039,1186.77
64,2.96336,1186.77
65,20.8852,1186.77
66,18.8668,1186.77
67,19.5176,1186.77
68,26.9221,1186.77
69,11.6196,1186.77
70,16.6678,1186.77
71,11.2246,1186.77
72,9.23084,1186.77
73,22.4405,1186.77
74,23.2239,1186.77
75,19.6985,1186.77
76,18.7403,1186.77
77,26.4808,1186.77
78,23.0137,1186.77
79,27.2935,1186.77
80,6.90046,1186.77
81,26.5155,1186.77
82,31.7105,1186.77
83,31.1156,1186.77
84,31.2824,7603.66
85,25.9638,7603.66
86,14.2843,7603.66
87,8.98314,7603.66
88,18.8246,7603.66
89,26.6675,7603.66
90,15.5895,7603.66
91,27.2929,7603.66
92,26.3427,7603.66
93,16.0704,7603.66
94,16.9968,7603.66
95,29.3061,7603.66
96,4.95558,7603.66
97,3.86365,7603.66
98,16.8236,7603.66
99,31.8777,7603.66
100,15.4833,7603.66
101,1.4914,7603.66
102,11.1022,7603.66
103,24.7141,7603.66
104,23.9319,7603.66
105,2.32616,7603.66
