Scenario Node ID,Electricity Price,Fuel Supply
0,10.3225,6429.08
1,14.3546,6080.1
2,2.27938,6080.1
3,12.2194,3530.38
4,27.9774,3530.38
5,28.3137,3530.38
6,16.9782,3530.38
7,2.70994,4493.49
8,31.3662,4493.49
9,27.574,4493.49
10,22.8,4493.49
11,28.808,4493.49
12,7.44614,4493.49
13,29.3429,4493.49
14,4.87998,4493.49
15,6.39898,5025.14
16,24.6319,5025.14
17,14.0589,5025.14
18,3.81762,5025.14
19,13.4415,5025.14
20,0.486827,5025.14
21,6.0162,5025.14
22,31.9428,5025.14
23,31.9348,5025.14
24,6.03424,5025.14
25,32.92,5025.14
26,13.41,5025.14
27,15.6553,5025.14
28,20.5448,5025.14
29,28.369,5025.14
30,25.4012,5025.14
31,30.8673,6911.61
32,8.72363,6911.61
33,27.6805,6911.61
34,9.08671,6911.61
35,2.70104,6911.61
36,21.9942,6911.61
37,26.0649,6911.61
38,5.41098,6911.61
39,19.3604,6911.61
40,19.6389,6911.61
41,28.211,6911.61
42,14.1685,6911.61
43,27.085,6911.61
44,23.5539,6911.61
45,19.0484,6911.61
46,33.484,6911.61
47,14.1859,5039.59
48,33.1074,5039.59
49,3.30165,5039.59
50,27.6274,5039.59
51,33.5942,5039.59
52,9.31785,5039.59
53,25.5701,5039.59
54,31.529,5039.59
55,15.3521,5039.59
56,24.4902,5039.59
57,10.939,5039.59
58,31.0074,5039.59
59,11.035,5039.59
60,5.30803,5039.59
61,22.4085,5039.59
62,7.90237,5039.59
63,14.0317,4130.24
64,16.0891,4130.24
65,16.9891,4130.24
66,16.7327,4130.24
67,4.08329,4130.24
68,9.05396,4130.24
69,22.1437,4130.24
70,23.4437,4130.24
71,28.6929,4130.24
